partNumber,name,category,model,price,oem_price,aftermarket_price,description,manufacturer,url
1628-451-007,Cylinder Head Gasket,Engine,corsa,142.50,142.50,89.99,OEM cylinder head gasket for Opel Corsa,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-008,Valve Cover Gasket,Engine,corsa,56.99,56.99,34.50,Valve cover gasket assembly,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-009,Oil Seal,Engine,corsa,29.99,29.99,16.99,Crankshaft oil seal,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-010,Timing Belt,Engine,corsa,89.99,89.99,54.99,OEM timing belt,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-011,Water Pump,Engine,corsa,124.50,124.50,69.99,Engine water pump assembly,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-012,Fuel Injector,Engine,corsa,99.99,99.99,64.99,Single fuel injector,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-013,Spark Plug,Engine,corsa,12.50,12.50,7.99,OEM spark plug,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-014,Air Filter,Engine,corsa,34.99,34.99,19.99,Engine air filter replacement,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-015,Oil Filter,Engine,corsa,24.99,24.99,14.99,Oil filter cartridge,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-016,Alternator,Engine,corsa,189.99,189.99,129.99,Engine alternator assembly,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-017,Starter Motor,Engine,corsa,159.99,159.99,99.99,Electric starter motor,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-018,Brake Pad Set Front,Brakes,corsa,79.99,79.99,49.99,Front disc brake pads set,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-019,Brake Pad Set Rear,Brakes,corsa,64.99,64.99,39.99,Rear disc brake pads set,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-020,Brake Disc Front,Brakes,corsa,109.99,109.99,64.99,Front brake disc rotor,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-021,Brake Disc Rear,Brakes,corsa,99.99,99.99,54.99,Rear brake disc rotor,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-022,Brake Caliper Front,Brakes,corsa,149.99,149.99,84.99,Front brake caliper assembly,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-023,Brake Caliper Rear,Brakes,corsa,129.99,129.99,74.99,Rear brake caliper assembly,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-024,Brake Master Cylinder,Brakes,corsa,189.99,189.99,119.99,Brake system master cylinder,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-025,Brake Hose Front,Brakes,corsa,39.99,39.99,24.99,Front brake hose assembly,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-026,Brake Hose Rear,Brakes,corsa,34.99,34.99,21.99,Rear brake hose assembly,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-027,Suspension Strut Front Left,Suspension,corsa,199.99,199.99,119.99,Front left suspension strut,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-028,Suspension Strut Front Right,Suspension,corsa,199.99,199.99,119.99,Front right suspension strut,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-029,Suspension Spring Front,Suspension,corsa,89.99,89.99,54.99,Front coil spring,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-030,Suspension Spring Rear,Suspension,corsa,79.99,79.99,49.99,Rear coil spring,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-031,Control Arm Front Left,Suspension,corsa,109.99,109.99,64.99,Front left control arm,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-032,Control Arm Front Right,Suspension,corsa,109.99,109.99,64.99,Front right control arm,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-033,Stabilizer Bar Front,Suspension,corsa,79.99,79.99,49.99,Front sway bar,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-034,Stabilizer Bar Rear,Suspension,corsa,69.99,69.99,44.99,Rear sway bar,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
1628-451-035,Shock Absorber Front Left,Suspension,corsa,149.99,149.99,84.99,Front left shock absorber,Opel,https://opel.7zap.com/en/global/corsa-parts-catalog/
